,Ticker,Company,CIK,Name,Exchange,SIC,Business,Incorporated,IRS,Flag_3D,Flag_CAD,Flag_Materials,Flag_supply
0,A,AGILENT TECHNOLOGIES INC,1090872,Agilent Technologies Inc,NYSE,3825.0,CA,DE,770518772.0,0,364,299,True
1,AA,ALCOA CORPORATION,4281,Alcoa Inc,NYSE,3350.0,PA,PA,250317820.0,0,80,816,True
2,AAC,AAC HOLDINGS INC,1099290,Sinocoking Coal & Coke Chemical Industries Inc,NASDAQ,3312.0,F4,FL,593404233.0,0,132,315,True
3,AAL,AMERICAN AIRLINES GROUP,6201,American Airlines Group Inc,NASDAQ,4512.0,TX,DE,751825172.0,0,204,449,True
4,AAN,AARONS INC,706688,Aarons Inc,NYSE,7359.0,GA,GA,580687630.0,0,259,110,True
5,AAOI,APPLIED OPTOELECTRONICS,1158114,Applied Optoelectronics Inc,NASDAQ,3674.0,TX,DE,760533927.0,0,0,104,True
6,AAON,AAON INC,824142,Aaon Inc,NASDAQ,3585.0,OK,NV,870448736.0,0,13,153,True
7,AAP,ADVANCE AUTO PARTS INC,1158449,Advance Auto Parts Inc,NYSE,5531.0,VA,DE,542049910.0,0,708,55,True
8,AAPL,APPLE INC,320193,Apple Inc,NASDAQ,3571.0,CA,CA,942404110.0,0,8,63,True
9,AAT,AMERICAN ASSETS TRST INC,1500217,American Assets Trust Inc,NYSE,6798.0,CA,MD,,0,76,45,True
10,ABAX,ABAXIS INC,881890,Abaxis Inc,NASDAQ,3829.0,CA,CA,770213001.0,0,6,196,True
11,ABBV,ABBVIE INC,1551152,Abbvie Inc,NYSE,2834.0,IL,DE,320375147.0,0,2,72,True
12,ABC,AMERISOURCEBERGEN CORP,1140859,Amerisourcebergen Corp,NYSE,5122.0,PA,DE,233079390.0,0,38,75,True
13,ABCB,AMERIS BANCORP,351569,Ameris Bancorp,NASDAQ,6022.0,GA,GA,581456434.0,0,56,3,True
14,ABCD,CAMBIUM LEARNING GRP INC,1466815,Cambium Learning Group Inc,NASDAQ,2741.0,TX,,270587428.0,0,12,370,True
15,ABCO,ADVISORY BOARD CO,1157377,Advisory Board Co,NASDAQ,8741.0,DC,DE,521468699.0,0,94,90,True
16,ABG,ASBURY AUTOMOTIVE GROUP,1144980,Asbury Automotive Group Inc,NYSE,5500.0,GA,DE,10609375.0,0,252,196,True
17,ABM,ABM INDUSTRIES INC,771497,Abm Industries Inc,NYSE,7340.0,NY,DE,941369354.0,0,157,337,True
18,ABMD,ABIOMED INC,815094,Abiomed Inc,NASDAQ,3841.0,MA,DE,42743260.0,0,11,189,True
19,ABT,ABBOTT LABORATORIES,1800,Abbott Laboratories,NYSE,2834.0,IL,IL,360698440.0,0,53,330,True
20,ACAD,ACADIA PHARMACEUTICALS,1070494,Acadia Pharmaceuticals Inc,NASDAQ,2834.0,CA,DE,61376651.0,0,717,104,True
21,ACC,AMERICAN CAMPUS COMMUN,1283630,American Campus Communities Inc,NYSE,6798.0,TX,MD,760753089.0,0,194,37,True
22,ACET,ACETO CORP,2034,Aceto Corp,NASDAQ,5160.0,NY,NY,111720520.0,0,10,290,True
23,ACGL,ARCH CAP GROUP LTD,947484,Arch Capital Group LTD,NASDAQ,6331.0,D0,,,0,160,62,True
24,ACHC,ACADIA HEALTHCARE CO,1520697,Acadia Healthcare Company Inc,NASDAQ,8093.0,TN,DE,,0,39,17,True
25,ACHN,ACHILLION PHARM,1070336,Achillion Pharmaceuticals Inc,NASDAQ,2834.0,CT,DE,,0,28,142,True
26,ACIW,ACI WORLDWIDE INC,935036,Aci Worldwide Inc,NASDAQ,7372.0,FL,DE,470772104.0,0,20,28,True
27,ACLS,AXCELIS TECHNOLOGIES INC,1113232,Axcelis Technologies Inc,NASDAQ,3559.0,MA,DE,341818596.0,0,7,160,True
28,ACM,AECOM,868857,Aecom Technology Corp,NYSE,8711.0,CA,DE,611088522.0,0,157,197,True
29,ACN,ACCENTURE PLC IRELAND,1134538,Accenture LTD,NYSE,7389.0,D0,,,0,0,63,False
30,ACN,ACCENTURE PLC IRELAND,1467373,Accenture PLC,NYSE,7389.0,L2,L2,980627530.0,0,251,90,True
31,ACNB,ACNB CORP,715579,Acnb Corp,NASDAQ,6022.0,PA,PA,232233457.0,0,318,8,True
32,ACOR,ACORDA THERAPEUTICS INC,1008848,Acorda Therapeutics Inc,NASDAQ,2836.0,NY,,,0,14,153,True
33,ACRE,ARES COML REAL ESTATE,1529377,Ares Commercial Real Estate Corp,NYSE,6798.0,IL,MD,453148087.0,0,6,34,True
34,ACTG,ACACIA RESEARCH CORP,934549,Acacia Research Corp,NASDAQ,6794.0,CA,DE,954405754.0,0,126,13,True
35,ACXM,ACXIOM CORP,733269,Acxiom Corp,NASDAQ,7374.0,AR,DE,710581897.0,0,11,19,True
36,ADBE,ADOBE SYSTEMS INC,796343,Adobe Systems Inc,NASDAQ,7372.0,CA,DE,770019522.0,0,345,55,True
37,ADC,AGREE REALTY CORP,917251,Agree Realty Corp,NYSE,6798.0,MI,DE,383148187.0,0,19,0,True
38,ADES,ADVANCED EMISSIONS SLTNS,1223112,Ada-es Inc,NASDAQ,2890.0,,CO,841457335.0,0,5,249,True
39,ADES,ADVANCED EMISSIONS SLTNS,1515156,Advanced Emissions Solutions Inc,NASDAQ,2890.0,CO,,275472457.0,0,0,0,False
40,ADI,ANALOG DEVICES INC,6281,Analog Devices Inc,NASDAQ,3674.0,MA,MA,42348234.0,0,530,364,True
