,Ticker,Company,CIK,Name,Exchange,SIC,Business,Incorporated,IRS,Flag_3D,Flag_CAD,Flag_Materials,Flag_supply
543,COHR,COHERENT INC,21510,Coherent Inc,NASDAQ,3826.0,CA,DE,941622541.0,1,594,645,False
674,DDD,3D SYSTEMS CORP,910638,3D Systems Corp,NYSE,7372.0,SC,DE,954431352.0,418,171,1851,False
1163,HPQ,HP INC,47217,Hewlett Packard Co,NYSE,3570.0,CA,DE,941081436.0,1,23,292,False
1227,IMAX,IMAX CORP,921582,Imax Corp,NYSE,3861.0,A6,A6,980140269.0,23,12,230,False
1261,IPGP,IPG PHOTONICS CORP,1111928,Ipg Photonics Corp,NASDAQ,3674.0,MA,DE,43444218.0,2,24,805,False
1565,MRC,MRC GLOBAL INC,1517990,Maxwell Resources Inc,NYSE,2750.0,NV,NV,331219696.0,11,0,1,False
1574,MRVL,MARVELL TECHNOLOGY GROUP,1058057,Marvell Technology Group LTD,NASDAQ,3674.0,D0,D0,770481679.0,1,38,75,False
1774,ONVO,ORGANOVO HLDGS INC,1497253,Organovo Holdings Inc,NYSE MKT,2836.0,CA,DE,271488943.0,2,6,125,False
1937,PRLB,PROTO LABS INC,1443669,Proto Labs Inc,NYSE,3440.0,MN,,,6,78,128,False
2116,SCSC,SCANSOURCE INC,918965,Scansource Inc,NASDAQ,5045.0,SC,SC,570965380.0,9,115,183,False
2143,SHLM,SCHULMAN A INC,87565,Schulman A Inc,NASDAQ,2821.0,OH,DE,340514850.0,4,306,449,False
2220,SRI,STONERIDGE INC,1043337,Stoneridge Inc,NYSE,3714.0,OH,OH,341598949.0,1,18,268,False
2229,SSYS,STRATASYS LTD,915735,Stratasys Inc,NASDAQ,3577.0,MN,DE,363658792.0,608,198,360,False
2610,XONE,EXONE COMPANY,1561627,Exone Co,NASDAQ,3555.0,PA,DE,261480640.0,338,9,300,False
